TYPEHUQ,HDD30YR,CDD30YR,BEDROOMS,NCOMBATH,TOTROOMS,CELLAR,GARGHEAT,HEATROOM,ACROOMS,USECENAC,TEMPNITEAC,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,KWHCOL,KWHRFG,KWHOTH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLAREL
2,973,2724,3,2,5,0,0,5,5,3,70,2085,1835,1835,10114,3032.18,587.46,4059.89,339.07,152.42,65.69,454.00,1131
5,929,1584,2,2,5,-2,-2,5,5,3,85,827,827,827,8936,2033.92,1103.97,4078.04,354.62,0.00,192.48,711.01,1558
2,2413,172,3,2,8,1,0,8,-2,-2,-2,3597,2137,0,8604,0.00,1142.98,5191.87,0.00,325.18,223.71,1016.17,1684
2,580,3958,4,2,8,0,-2,8,8,3,78,1697,1697,1697,23981,9669.54,1674.52,8756.89,910.87,216.26,157.74,824.90,2259
2,2975,1740,4,3,11,1,0,3,-2,-2,-2,5987,833,0,7038,0.00,806.03,5175.67,0.00,0.00,60.81,390.49,531
3,1844,2861,3,2,7,0,0,7,7,3,70,3258,2858,2858,8537,3902.33,678.67,2477.16,429.68,82.68,74.73,272.76,940
1,5100,1264,3,1,8,-2,-2,7,-2,-2,-2,741,648,0,3658,0.00,836.85,2821.15,0.00,0.00,91.97,310.03,402
1,1394,2442,3,2,5,-2,-2,5,-2,-2,-2,910,910,0,24166,0.00,1298.40,15522.50,0.00,587.65,163.33,1952.68,3040
2,4875,1311,3,3,9,1,0,9,-2,-2,-2,5503,3829,0,24698,0.00,1785.98,13945.90,0.00,585.90,201.32,1572.01,2784
3,4417,1451,3,1,7,1,-2,7,-2,-2,-2,2395,1597,228,5876,267.40,940.49,4668.11,31.04,0.00,109.16,541.81,682
5,1286,3524,1,1,4,-2,-2,-2,4,3,68,890,0,890,11579,4658.53,1308.47,5612.00,636.88,0.00,178.89,767.23,1583
5,6557,894,1,1,3,-2,-2,3,3,3,68,544,544,544,4641,207.14,428.30,1516.91,22.90,93.55,47.34,167.67,513
2,7300,802,5,3,9,1,0,4,7,1,-2,2944,1771,1083,12658,186.70,1713.45,10214.62,17.66,0.00,162.03,965.94,1197
2,1411,2958,3,1,7,0,-2,7,7,1,-2,1392,1392,1392,11797,1676.46,1217.96,5479.84,140.12,128.26,101.80,458.01,986
2,1349,2779,2,1,5,0,0,5,5,3,76,1828,1578,1578,10928,4200.06,1113.74,5614.20,520.01,0.00,137.89,695.10,1353
5,5904,862,3,2,6,-2,-2,6,-2,-2,-2,667,667,0,4150,0.00,806.02,3343.98,0.00,0.00,138.29,573.71,712
2,2589,2498,4,2,7,0,0,7,7,3,73,2280,1880,1880,28797,6318.46,4241.67,18236.87,686.11,0.00,460.59,1980.30,3127
2,5204,874,3,1,6,0,-2,6,-2,-2,-2,1200,1200,400,4647,720.26,453.64,3473.11,117.49,0.00,74.00,566.52,758
1,3417,1593,2,2,4,-2,-2,4,4,3,60,840,840,840,28058,2236.64,1749.48,14918.56,291.60,1085.22,228.09,1944.98,3658
5,2377,761,3,2,5,-2,-2,2,5,1,-2,1053,421,1053,5649,323.01,1072.29,4253.71,29.16,0.00,96.81,384.03,510
2,3419,1682,4,2,8,0,0,6,6,3,70,4998,3561,3561,13559,4847.84,906.95,7804.21,484.46,0.00,90.64,779.90,1355
2,2645,2408,3,2,6,0,0,6,6,3,70,1744,1344,1344,14598,3370.79,3561.31,7665.90,417.48,0.00,441.08,949.44,1808
2,3556,1709,3,2,6,1,-2,6,6,3,70,4488,2992,2992,14943,4083.35,715.97,7353.19,446.51,267.08,78.29,804.06,1634
2,4671,1678,3,1,7,1,-2,7,7,3,68,2271,1374,1374,7089,1527.39,1050.33,4511.28,177.32,0.00,121.94,523.74,823
2,5828,804,3,2,6,1,1,6,-2,-2,-2,1929,1115,0,3977,0.00,858.86,3118.14,0.00,0.00,140.16,508.84,649
2,1698,2511,3,3,10,0,0,10,10,3,72,3600,3200,3200,19055,7491.57,2645.96,7608.43,888.14,0.00,313.68,901.99,2259
2,4255,1265,1,1,3,0,-2,3,-2,-2,-2,414,414,138,1790,236.50,628.79,924.71,38.84,0.00,103.28,151.88,294
5,2803,1858,3,2,6,-2,-2,6,6,1,-2,1362,1362,1362,13374,1039.01,619.10,6082.55,109.31,304.56,65.13,639.91,1407
2,6160,771,2,1,5,0,-2,5,-2,-2,-2,875,875,175,8501,400.39,1534.38,6566.22,27.32,0.00,104.69,448.00,580
5,4655,1331,2,1,5,-2,-2,5,5,3,75,912,912,912,9630,1184.00,1054.62,3639.53,177.05,0.00,157.70,544.23,1440
2,3279,1977,3,1,7,0,0,2,5,3,73,2081,480,1201,11481,1968.16,2094.33,7418.51,199.03,0.00,211.79,750.19,1161
5,4774,1097,-2,1,1,-2,-2,1,1,3,65,638,638,638,7852,720.65,1221.68,2336.23,117.57,582.98,199.31,381.14,1281
2,6503,883,4,3,9,1,0,8,9,1,-2,3356,1823,1696,5160,242.76,582.54,3124.52,24.65,122.89,59.16,317.30,524
4,1561,3098,4,2,6,0,-2,6,-2,-2,-2,2552,2552,0,15459,0.00,821.70,7909.33,0.00,390.78,81.86,787.92,1540
2,5202,906,4,2,7,0,0,7,7,3,75,2471,2071,2071,10802,1356.34,1061.37,5864.51,120.54,184.28,94.33,521.19,960
2,5836,1084,4,2,6,1,-2,6,-2,-2,-2,2588,1869,0,3386,0.00,542.29,2508.85,0.00,0.00,84.24,389.72,526
2,2918,1774,4,3,10,1,0,4,8,1,-2,6798,1730,3459,18196,2023.11,1232.04,10118.86,166.89,180.50,101.63,834.71,1501
5,5934,780,3,1,5,-2,-2,5,-2,-2,-2,1177,1177,235,7770,107.57,797.94,3499.24,21.90,0.00,162.46,712.46,1582
2,5069,762,4,2,9,1,0,9,-2,-2,-2,1924,1674,0,15351,0.00,1334.82,8596.95,0.00,330.22,96.52,621.63,1110
2,5458,776,3,2,7,0,0,7,7,3,71,1945,1545,1545,13161,1164.25,2242.31,9754.44,82.62,0.00,159.13,692.25,934
2,6784,499,1,1,4,1,-2,4,-2,-2,-2,2697,899,450,3260,56.40,422.85,2780.75,8.93,0.00,66.93,440.14,516
2,2506,2393,4,2,7,0,0,7,7,2,70,2300,1900,1900,29395,4851.59,1684.22,13100.28,563.14,738.59,195.50,1520.60,3412
5,4606,1150,-2,1,1,-2,-2,1,-2,-2,-2,313,313,0,3437,0.00,1342.51,2094.49,0.00,0.00,230.46,359.54,590
2,6563,544,4,1,6,1,-2,6,-2,-2,-2,2714,2438,0,31247,0.00,5082.26,17378.79,0.00,604.49,397.67,1359.85,2445
